hh1,hh2,hh3,hh4,hh5d,hh5m,hh5y,hh6,hh7,hh9,hh10,hh11,hh12,hh13,hh14,hh15,hh16,hh17,hh18h,hh18m,hh19h,hh19m,sl1,sl9a,sl9b,sl9c,cd_flag,cl2a,cl2b,cl2c,cl2d,cl4,cl5,cl6,cl7a,cl7b,cl7c,cl7d,cl7e,cl7f,cl8,cl9,cl10a,cl10b,cl10c,cl10d,cl10e,cl10f,cl10g,cl12,cd2,cd3a,cd3b,cd3c,cd3d,cd3e,cd3f,cd3g,cd3h,cd3i,cd3j,cd3k,cd4,hc1a,hc1c,hc2,hc3,hc4,hc5,hc6,hc7,hc8a,hc8b,hc8c,hc8d,hc8e,hc8f,hc8g,hc8h,hc8i,hc8j,hc8k,hc8l,hc8m,hc8n,hc8o,hc8p,hc8q,hc9b,hc9c,hc9d,hc10,hc11,hc12,hc12a,hc12b,hc12c,hc12d,hc13,hc14a,hc14b,hc14c,hc14e,hc14f,hc14g,hc15,ws1,ws2,ws3,ws4,ws5,ws6,ws7a,ws7b,ws7c,ws7d,ws7e,ws7f,ws7x,ws7z,ws8,ws9,ws10,ws11,hw1,hw2,hw3a,hw3ba,hw3bb,hw3bc,hw4,hw5a,hw5ba,hw5bb,hw5bc,hhsex,ethnicity,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r,psu,stratum,hh_id
253,8,157,151,31,12,2013,2,3,1,2,4,1,1,1,1,152,11,15,40,16,15,2,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,2,1,1,1,2,2,2,1,2,2,96,96,1,36,31,33,2,NA,1,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,91,13,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,A,,,NA,NA,,,,1,2,3,1.4757908039176502,-0.03952487851865821,3,NA,NA,0.38746267516799016,3,253,9,25308
253,9,152,151,29,12,2013,2,3,1,1,4,0,0,0,0,152,11,14,3,14,36,2,1,3,12,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,1,1,1,2,1,16,3,2,1,2,1,1,1,1,1,2,2,2,1,96,96,2,36,34,33,7,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,10000,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,12,NA,NA,NA,NA,1,A,,,,,,,,12,2,NA,NA,1,1,1,,B,,NA,NA,,,,1,2,0,1.4757908039176502,-0.5720466544164033,2,NA,NA,-0.18869345653455336,2,253,9,25309
253,10,156,151,30,12,2013,2,3,1,4,13,2,2,3,3,152,11,7,32,8,10,3,2,9,8,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,2,1,2,1,3,9,2,1,2,1,1,2,2,2,2,2,2,2,96,96,3,36,34,33,7,3,1,2,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,1,10000,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,91,11,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,,,C,NA,NA,,,,1,2,4,1.4757908039176502,0.12410329366736461,3,NA,NA,0.5644983927502875,4,253,9,25310
253,11,157,151,31,12,2013,2,3,1,2,5,1,1,0,0,152,11,9,45,10,10,1,1,5,17,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96,2,36,34,33,7,2,1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,10000,2,NA,2,NA,1,0,0,0,2,0,4,2,91,11,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,,,C,NA,NA,,,,1,2,1,1.4757908039176502,-0.044184970133151535,3,NA,NA,0.3824207398340603,3,253,9,25311
253,12,156,151,31,12,2013,2,3,1,2,7,0,0,1,1,152,11,7,48,8,30,4,2,5,9,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,1,1,2,2,4,5,2,1,2,2,1,2,2,2,2,2,2,2,96,96,2,36,34,33,7,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,7000,2,NA,2,NA,1,0,0,3,17,0,6,2,91,11,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,2,,,,1,1,,,C,1,2,0,1.4757908039176502,-0.231451666997661,2,NA,NA,0.17980957810217538,3,253,9,25312
253,13,152,151,29,12,2013,2,3,1,1,3,0,0,0,0,152,11,14,50,15,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96,3,36,34,33,7,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,10000,2,NA,2,NA,1,2,0,0,0,0,0,2,12,NA,NA,NA,NA,1,A,,,,,,,,12,1,1,2,1,1,1,A,B,,NA,NA,,,,1,2,1,1.4757908039176502,-0.17925238915229652,2,NA,NA,0.23628601786907513,3,253,9,25313
253,14,155,151,30,12,2013,2,3,1,1,3,1,1,0,0,152,11,14,35,15,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96,2,36,31,33,2,NA,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,20000,2,NA,2,NA,1,6,0,0,10,0,0,2,91,12,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,,B,,NA,NA,,,,1,2,1,1.4757908039176502,0.3755838930192317,3,NA,NA,0.8365850864381549,4,253,9,25314
253,15,156,151,30,12,2013,2,3,1,2,4,1,1,0,0,152,11,16,45,17,21,2,1,3,10,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,2,2,2,2,3,3,1,1,2,2,2,1,2,2,2,2,2,2,96,96,3,36,31,33,2,NA,1,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,700,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,91,11,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,2,,,,1,1,,,C,1,2,0,1.4757908039176502,0.2154353211668364,3,NA,NA,0.6633140845141308,4,253,9,25315
253,16,157,151,29,12,2013,2,3,1,7,8,1,1,2,2,152,11,14,20,14,55,3,2,4,7,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,2,1,1,1,3,4,2,1,2,1,1,1,2,2,2,2,2,2,96,96,3,36,34,33,7,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,12000,2,NA,2,NA,1,0,0,0,20,0,10,2,91,11,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,3,NA,NA,,,,1,2,,,,2,2,2,1.4757908039176502,-0.23010011724234675,2,NA,NA,0.18127187262996744,3,253,9,25316
253,17,155,151,31,12,2013,2,3,1,2,4,1,1,0,0,152,11,14,25,15,3,2,1,3,13,1,1,2,2,1,40,2,2,2,1,NA,NA,NA,NA,2,NA,2,2,2,2,2,2,2,NA,3,2,2,2,2,2,2,2,2,2,2,2,1,96,96,2,36,31,33,7,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,NA,2,NA,2,NA,1,0,0,1,0,0,0,2,91,12,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,,B,,NA,NA,,,,1,2,0,1.4757908039176502,-0.6789954279788636,2,NA,NA,-0.3044055165009245,2,253,9,25317
